Datum;Waren_ID;Warenbezeichnung;Export;Import;Handelsbilanz
01.01.09;WA86;Schienenfahrzeuge;279228;174039;105189
01.01.09;WA87;Kraftfahrzeuge, Landfahrzeuge;8028192;3691420;4336772
01.01.09;WA88;Luftfahrzeuge, Raumfahrzeuge;1715454;1549721;165733
01.01.09;WA89;Wasserfahrzeuge;237012;53107;183905
01.01.09;WA90;Optische, photografische usw. Erzeugnisse;2630368;1627006;1003362
01.01.09;WA91;Uhrmacherwaren;66586;96196;-29610
01.01.09;WA92;Musikinstrumente;25124;31727;-6603
01.01.09;WA93;Waffen und Munition;26317;8046;18271
01.01.09;WA94;Möbel, Beleuchtungskörper usw.;811628;929540;-117912
01.01.09;WA95;Spielzeug, Spiele usw., Sportgeräte;416142;566296;-150154
01.01.09;WA96;Verschiedene Waren;132528;100355;32173
01.01.09;WA97;Kunstgegenstände, Sammlungsstücke;46777;24114;22663
01.01.09;WA98;Vollständige Fabrikationsanlagen;464662;1838;462824
01.01.09;WA99;Zusammenstellungen verschiedener Waren;974944;889222;85722
01.01.10;WA01;Lebende Tiere;86734;118776;-32042
01.01.10;WA02;Fleisch;468415;393869;74546
01.01.10;WA03;Fische, Krebs- und Weichtiere;80292;230291;-149999
01.01.10;WA04;Milch, Milcherzeugnisse, Eier, Honig;504717;388968;115749
01.01.10;WA05;Andere Waren tierischen Ursprungs;43620;48886;-5266
01.01.10;WA06;Pflanzen, Waren des Blumenhandels;33005;152858;-119853
01.01.10;WA07;Gemüse, Pflanzen für Ernährung;65454;375483;-310029
01.01.10;WA08;Geniessbare Früchte und Nüsse;92470;476180;-383710
01.01.10;WA09;Kaffee, Tee, Mate, Gewürze;121514;211189;-89675
01.01.10;WA10;Getreide;121209;122543;-1334
01.01.10;WA11;Müllereierzeugnisse, Malz usw.;70138;28953;41185
01.01.10;WA12;Ölsamen usw., Heilpflanzen usw.;91898;247953;-156055
01.01.10;WA13;Schellack, Gummen, Harz, Pflanzensaft;31261;25034;6227
01.01.10;WA14;Flechtstoffe usw. pflanzlichen Ursprungs;858;1866;-1008
01.01.10;WA15;Tierische und pflanzliche Fette, Öle, Wachs;134790;186535;-51745
01.01.10;WA16;Zubereitungen von Fleisch, Fisch usw.;170172;163080;7092
01.01.10;WA17;Zucker und Zuckerwaren;107455;89451;18004
01.01.10;WA18;Kakao und Zubereitungen aus Kakao;219979;244158;-24179
01.01.10;WA19;Zubereitungen aus Getreide usw., Backwaren;288214;179352;108862
01.01.10;WA20;Zubereitungen von Gemüse, Früchten usw.;138119;255977;-117858
01.01.10;WA21;Verschiedene Lebensmittelzubereitungen;253610;172441;81169
01.01.10;WA22;Getränke, alkoholhaltige Flüssigkeiten, Essig;259510;397962;-138452
01.01.10;WA23;Rückstände der Lebensmittelindustrie, Futter;222907;243087;-20180
01.01.10;WA24;Tabak;254383;130988;123395
01.01.10;WA25;Salz, Schwefel, Steine, Erden usw.;113356;108197;5159
01.01.10;WA26;Erze, Schlacken, Aschen;16048;500942;-484894
01.01.10;WA27;Mineralische Brennstoffe usw.;1517018;6766559;-5249541
01.01.10;WA28;Anorganische chemische Erzeugnisse;550427;339954;210473
01.01.10;WA29;Organische chemische Erzeugnisse;1742637;1580413;162224
01.01.10;WA30;Pharmazeutische Erzeugnisse;3629620;3184108;445512
01.01.10;WA31;Düngemittel;153608;68513;85095
01.01.10;WA32;Gerb- und Farbstoffe, Farben, Lacke usw.;597920;303249;294671
01.01.10;WA33;Etherische Öle, Riech-, Schönheitsmittel;532073;325683;206390
01.01.10;WA34;Seifen, Waschmittel usw.;383934;197543;186391
01.01.10;WA35;Eiweissstoffe, Klebstoffe, Enzyme;160487;114402;46085
01.01.10;WA36;Sprengstoffe, pyrotechnische Artikel usw.;11415;18052;-6637
01.01.10;WA37;Photochemische Erzeugnisse;83085;57476;25609
01.01.10;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;1201537;671883;529654
01.01.10;WA39;Kunststoffe und Waren daraus;3166453;1866354;1300099
01.01.10;WA40;Kautschuk und Waren daraus;758481;681594;76887
01.01.10;WA41;Häute, Felle, Leder;55738;53314;2424
01.01.10;WA42;Lederwaren, Sattlerwaren;99967;185279;-85312
01.01.10;WA43;Pelzfelle, künstliches Pelzwerk;6357;6904;-547
01.01.10;WA44;Holz, Holzwaren, Holzkohle;422806;403999;18807
01.01.10;WA45;Kork, Korkwaren;2141;13254;-11113
01.01.10;WA46;Flechtwaren, Korbmacherwaren;3184;10732;-7548
01.01.10;WA47;Halbstoffe aus Holz usw., Papierabfall;78328;236560;-158232
01.01.10;WA48;Papier, Pappe und Waren daraus;1319980;813957;506023
01.01.10;WA49;Bücher, Zeitungen, Bilddrucke usw.;337474;143713;193761
01.01.10;WA50;Seide;4593;5387;-794
01.01.10;WA51;Wolle, feine und grobe Tierhaare;41378;41580;-202
01.01.10;WA52;Baumwolle;69835;64308;5527
01.01.10;WA53;Andere pflanzliche Spinnstoffe, Papiergarn;6215;6225;-10
01.01.10;WA54;Synthetisches oder künstliches Filament;145703;102604;43099
01.01.10;WA55;Synthetische oder künstliche Spinnfaser;135007;95789;39218
01.01.10;WA56;Watte, Filz, Vliesstoff usw., Tauwerk;135340;78648;56692
01.01.10;WA57;Teppiche, Fussbodenbelag aus Spinnstoff;36958;84676;-47718
01.01.10;WA58;Spezialgewebe, Spitzen, Tapisserien;35448;22673;12775
01.01.10;WA59;Getränkte, bestrichene usw. Gewebe;125561;68666;56895
01.01.10;WA60;Gewirke und Gestricke;56046;28724;27322
01.01.10;WA61;Bekleidung usw. aus Gewirken, Gestricken;441992;865086;-423094
01.01.10;WA62;Andere Bekleidung, Bekleidungszubehör;566811;990592;-423781
01.01.10;WA63;Andere Konfektion, Spinnstoffwaren usw.;121761;218739;-96978
01.01.10;WA64;Schuhe, Gamaschen, ähnliche Waren;250220;502725;-252505
01.01.10;WA65;Kopfbedeckungen und Teile davon;17010;29435;-12425
01.01.10;WA66;Schirme, Gehstöcke usw., Peitschen;10715;13487;-2772
01.01.10;WA67;Zugerichtete Federn, Daunen, künstliche Blumen;5604;10793;-5189
01.01.10;WA68;Waren aus Steinen, Gips, Zement usw.;197171;143941;53230
01.01.10;WA69;Keramische Waren;182775;147118;35657
01.01.10;WA70;Glas und Glaswaren;356868;273475;83393
01.01.10;WA71;Perlen, Edelsteine, Edelmetalle;622132;818734;-196602
01.01.10;WA72;Eisen und Stahl;1430616;1327802;102814
01.01.10;WA73;Waren aus Eisen oder Stahl;1429005;941453;487552
01.01.10;WA74;Kupfer und Waren daraus;686357;523437;162920
01.01.10;WA75;Nickel und Waren daraus;48182;72226;-24044
01.01.10;WA76;Aluminium und Waren daraus;681540;735912;-54372
01.01.10;WA78;Blei und Waren daraus;37787;19157;18630
01.01.10;WA79;Zink und Waren daraus;43132;65979;-22847
01.01.10;WA80;Zinn und Waren daraus;6394;19145;-12751
01.01.10;WA81;Andere unedle Metalle, Cermets usw.;63154;73187;-10033
01.01.10;WA82;Werkzeuge, Schneidwaren, Essbestecke;384981;242581;142400
01.01.10;WA83;Verschiedene Waren aus unedlen Metallen;428289;252285;176004
01.01.10;WA84;Maschinen, Apparate, mechanische Geräte;10458896;6696033;3762863
01.01.10;WA85;Elektrotechnische Erzeugnisse;6599278;6230201;369077
01.01.10;WA86;Schienenfahrzeuge;208858;102524;106334
01.01.10;WA87;Kraftfahrzeuge, Landfahrzeuge;9571787;3565917;6005870
01.01.10;WA88;Luftfahrzeuge, Raumfahrzeuge;1465770;1455455;10315
01.01.10;WA89;Wasserfahrzeuge;44773;562730;-517957
01.01.10;WA90;Optische, photografische usw. Erzeugnisse;2794125;1633010;1161115
01.01.10;WA91;Uhrmacherwaren;76829;85876;-9047
01.01.10;WA92;Musikinstrumente;23525;26366;-2841
01.01.10;WA93;Waffen und Munition;23410;8590;14820
01.01.10;WA94;Möbel, Beleuchtungskörper usw.;797310;953769;-156459
01.01.10;WA95;Spielzeug, Spiele usw., Sportgeräte;282553;378357;-95804
01.01.10;WA96;Verschiedene Waren;122157;96061;26096
01.01.10;WA97;Kunstgegenstände, Sammlungsstücke;38754;29845;8909
01.01.10;WA98;Vollständige Fabrikationsanlagen;235280;1165;234115
01.01.10;WA99;Zusammenstellungen verschiedener Waren;1005259;829837;175422
01.01.11;WA01;Lebende Tiere;104931;108805;-3874
01.01.11;WA02;Fleisch;496267;404781;91486
01.01.11;WA03;Fische, Krebs- und Weichtiere;99452;279950;-180498
01.01.11;WA04;Milch, Milcherzeugnisse, Eier, Honig;607465;460788;146677
01.01.11;WA05;Andere Waren tierischen Ursprungs;54526;54286;240
01.01.11;WA06;Pflanzen, Waren des Blumenhandels;39601;182533;-142932
01.01.11;WA07;Gemüse, Pflanzen für Ernährung;85000;476242;-391242
01.01.11;WA08;Geniessbare Früchte und Nüsse;103772;554929;-451157
01.01.11;WA09;Kaffee, Tee, Mate, Gewürze;173448;370570;-197122
01.01.11;WA10;Getreide;242530;218159;24371
01.01.11;WA11;Müllereierzeugnisse, Malz usw.;79870;40276;39594
01.01.11;WA12;Ölsamen usw., Heilpflanzen usw.;111741;271278;-159537
01.01.11;WA13;Schellack, Gummen, Harz, Pflanzensaft;40031;36543;3488
01.01.11;WA14;Flechtstoffe usw. pflanzlichen Ursprungs;697;1993;-1296
01.01.11;WA15;Tierische und pflanzliche Fette, Öle, Wachs;190488;308953;-118465
01.01.11;WA16;Zubereitungen von Fleisch, Fisch usw.;186569;176177;10392
01.01.11;WA17;Zucker und Zuckerwaren;107366;96744;10622
01.01.11;WA18;Kakao und Zubereitungen aus Kakao;259835;250985;8850
01.01.11;WA19;Zubereitungen aus Getreide usw., Backwaren;321179;182767;138412
01.01.11;WA20;Zubereitungen von Gemüse, Früchten usw.;155601;321350;-165749
01.01.11;WA21;Verschiedene Lebensmittelzubereitungen;301087;158131;142956
01.01.11;WA22;Getränke, alkoholhaltige Flüssigkeiten, Essig;318107;445203;-127096
01.01.11;WA23;Rückstände der Lebensmittelindustrie, Futter;221767;241361;-19594
01.01.11;WA24;Tabak;269829;148259;121570
01.01.11;WA25;Salz, Schwefel, Steine, Erden usw.;141595;144966;-3371
01.01.11;WA26;Erze, Schlacken, Aschen;24889;835923;-811034
01.01.11;WA27;Mineralische Brennstoffe usw.;2298695;9524494;-7225799
01.01.11;WA28;Anorganische chemische Erzeugnisse;863643;475719;387924
01.01.11;WA29;Organische chemische Erzeugnisse;2081200;1930522;150678
01.01.11;WA30;Pharmazeutische Erzeugnisse;3703645;2615088;1088557
01.01.11;WA31;Düngemittel;204965;114838;90127
01.01.11;WA32;Gerb- und Farbstoffe, Farben, Lacke usw.;703265;391660;311605
01.01.11;WA33;Etherische Öle, Riech-, Schönheitsmittel;609982;356152;253830
01.01.11;WA34;Seifen, Waschmittel usw.;464316;235251;229065
01.01.11;WA35;Eiweissstoffe, Klebstoffe, Enzyme;187853;142606;45247
01.01.11;WA36;Sprengstoffe, pyrotechnische Artikel usw.;15750;17595;-1845
01.01.11;WA37;Photochemische Erzeugnisse;83285;55689;27596
01.01.11;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;1424592;961564;463028
01.01.11;WA39;Kunststoffe und Waren daraus;3929153;2391861;1537292
01.01.11;WA40;Kautschuk und Waren daraus;1053632;1063189;-9557
01.01.11;WA41;Häute, Felle, Leder;67328;63832;3496
01.01.11;WA42;Lederwaren, Sattlerwaren;123472;256421;-132949
01.01.11;WA43;Pelzfelle, künstliches Pelzwerk;7094;9482;-2388
01.01.11;WA44;Holz, Holzwaren, Holzkohle;476066;469310;6756
01.01.11;WA45;Kork, Korkwaren;2646;9553;-6907
01.01.11;WA46;Flechtwaren, Korbmacherwaren;2961;11539;-8578
01.01.11;WA47;Halbstoffe aus Holz usw., Papierabfall;97693;324808;-227115
01.01.11;WA48;Papier, Pappe und Waren daraus;1485468;968494;516974
01.01.11;WA49;Bücher, Zeitungen, Bilddrucke usw.;367691;149329;218362
01.01.11;WA50;Seide;5604;6636;-1032
01.01.11;WA51;Wolle, feine und grobe Tierhaare;62047;70665;-8618
01.01.11;WA52;Baumwolle;97385;104892;-7507
01.01.11;WA53;Andere pflanzliche Spinnstoffe, Papiergarn;5776;7532;-1756
01.01.11;WA54;Synthetisches oder künstliches Filament;164736;121343;43393
01.01.11;WA55;Synthetische oder künstliche Spinnfaser;171795;127278;44517
01.01.11;WA56;Watte, Filz, Vliesstoff usw., Tauwerk;164263;88905;75358
01.01.11;WA57;Teppiche, Fussbodenbelag aus Spinnstoff;39635;93274;-53639
01.01.11;WA58;Spezialgewebe, Spitzen, Tapisserien;35864;26583;9281
01.01.11;WA59;Getränkte, bestrichene usw. Gewebe;151544;85834;65710
01.01.11;WA60;Gewirke und Gestricke;69527;31350;38177
01.01.11;WA61;Bekleidung usw. aus Gewirken, Gestricken;537590;1089372;-551782
01.01.11;WA62;Andere Bekleidung, Bekleidungszubehör;654330;1225611;-571281
01.01.11;WA63;Andere Konfektion, Spinnstoffwaren usw.;139648;276233;-136585
01.01.11;WA64;Schuhe, Gamaschen, ähnliche Waren;310283;657025;-346742
01.01.11;WA65;Kopfbedeckungen und Teile davon;18813;29794;-10981
01.01.11;WA66;Schirme, Gehstöcke usw., Peitschen;6051;19007;-12956
01.01.11;WA67;Zugerichtete Federn, Daunen, künstliche Blumen;7602;16287;-8685
01.01.11;WA68;Waren aus Steinen, Gips, Zement usw.;250914;167333;83581
01.01.11;WA69;Keramische Waren;211989;188972;23017
01.01.11;WA70;Glas und Glaswaren;403862;314319;89543
01.01.11;WA71;Perlen, Edelsteine, Edelmetalle;988041;1196431;-208390
01.01.11;WA72;Eisen und Stahl;2022754;2056775;-34021
01.01.11;WA73;Waren aus Eisen oder Stahl;1749540;1251444;498096
01.01.11;WA74;Kupfer und Waren daraus;976014;930367;45647
01.01.11;WA75;Nickel und Waren daraus;71480;160645;-89165
